Date,AAPL,MSFT,GOOGL,AMZN,TSLA
1/3/2023,,239.5800018,89.12000275,85.81999969,108.0999985
1/4/2023,126.3600006,,,85.13999939,113.6399994
1/5/2023,125.0199966,222.3099976,86.19999695,83.12000275,110.3399963
1/6/2023,129.6199951,224.9299927,87.33999634,86.08000183,113.0599976
1/9/2023,130.1499939,227.1199951,88.01999664,87.36000061,119.7699966
1/10/2023,130.7299957,228.8500061,88.41999817,89.87000275,118.8499985
1/11/2023,133.4900055,235.7700043,91.51999664,95.08999634,123.2200012
1/12/2023,133.4100037,238.5099945,91.12999725,95.26999664,123.5599976
1/13/2023,134.7599945,239.2299957,92.12000275,98.12000275,122.4000015
1/17/2023,135.9400024,240.3500061,91.29000092,96.05000305,131.4900055
1/18/2023,135.2100067,235.8099976,91.12000275,95.45999908,128.7799988
1/19/2023,135.2700043,231.9299927,93.05000305,93.68000031,127.1699982
1/20/2023,137.8699951,240.2200012,98.01999664,97.25,133.4199982
1/23/2023,141.1100006,242.5800018,99.79000092,97.51999664,143.75
1/24/2023,142.5299988,242.0399933,97.69999695,96.31999969,143.8899994
1/25/2023,141.8600006,240.6100006,95.22000122,97.18000031,144.4299927
1/26/2023,143.9600067,248,97.51999664,99.22000122,160.2700043
1/27/2023,145.9299927,248.1600037,99.37000275,102.2399979,177.8999939
1/30/2023,143,242.7100067,96.94000244,100.5500031,166.6600037
1/31/2023,144.2899933,247.8099976,98.83999634,103.1299973,173.2200012
2/1/2023,145.4299927,252.75,100.4300003,105.1500015,181.4100037
2/2/2023,150.8200073,264.6000061,107.7399979,112.9100037,188.2700043
2/3/2023,154.5,258.3500061,104.7799988,103.3899994,189.9799957
2/6/2023,151.7299957,256.769989,102.9000015,102.1800003,194.7599945
2/7/2023,154.6499939,267.5599976,107.6399994,102.1100006,196.8099976
2/8/2023,151.9199982,266.730011,99.37000275,100.0500031,201.2899933
2/9/2023,150.8699951,263.6199951,95.01000214,98.23999786,207.3200073
2/10/2023,151.0099945,263.1000061,94.56999969,97.61000061,196.8899994
2/13/2023,153.8500061,271.3200073,94.61000061,99.54000092,194.6399994
2/14/2023,153.1999969,272.1700134,94.68000031,99.69999695,209.25
2/15/2023,155.3300018,269.3200073,96.94000244,101.1600037,214.2400055
2/16/2023,153.7100067,262.1499939,95.51000214,98.15000153,202.0399933
2/17/2023,152.5500031,258.0599976,94.34999847,97.19999695,208.3099976
